开标时间,开标地点,项目名称,政府采购计划编号,项目负责人,联系电话,采购方式,采购预算,投标截止时间,采购地址,采购代理地址,采购联系人,采购代理联系人,采购电话,采购代理电话
2020年05月12日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）详见当天电子显示屏,环境空气质量复合监测站（超级站）—灰霾在线源解析专项设备采购项目,湘财采计[2020]000280号,莫尧典,13548973608,公开招标,"10,645,000元",2020年05月12日 10:00,长沙市万家丽中路3段118号,湖南省长沙市蔡锷南路天辰腾达商务大厦,荣兴 ,莫尧典  薛浩 ,0731-82592358,0731-85177561/2    zcb7503@qq.com  
2020年05月13日 09:00,株洲市公共资源交易中心六楼开标室（地址,湖南工业大学2020耗材一批,湘财采计[2020]000350号,刘巧燕,13974150055,公开招标,"1,549,301.17元",2020年05月13日 09:00,湖南省株洲市天元区泰山西路88号,株洲市天元区庐山路中信庐山一号公寓楼5楼512室,肖钦 ,施婷婷 ,22183169,0731-28282776 
2020年05月08日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南；开标室见大厅电子显示屏）,湖南省科学技术馆轨道交通展厅布展设计、施工一体化标段项目,湘财采计[2019]010775号,陈景,0731-84486133,公开招标,"3,000,000元",2020年05月08日 10:00,长沙市天心区杉木冲西路9号,长沙市天心区友谊路413号运成大厦12楼,刘建华 ,陈景 ,89808557,0731-84486133 
2020年05月09日 10:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号），详见当天电子显示屏,省级教育信息化基础设施建设-教育厅无线网改造,湘财采计[2020]000323号,冉光玲、王璜,13687368993,公开招标,"1,430,000元",2020年05月09日 10:00,新建西路77号,长沙市雨花区迎新路御溪国际3栋2440,朱凯 ,冉光玲、王璜 ,89728306,0731-82293870 
2020年05月09日 10:00,湖南省公共资源交易中心（长沙市雨花区万家丽路二段29号，天际岭隧道南；开标室见大厅电子显示屏）,湖南省委党校湖南行政学院燃气锅炉（设施）低氮改造,湘财采计[2020]000351号,王先生,17775772681,公开招标,"2,560,142.15元",2020年05月09日 10:00,湖南省长沙市岳麓区白云路386号,长沙市开福区德雅路浏河村巷38号,刘奇 ,王先生、沈女士 ,13787202908,17775772681（王）、13319512552（沈)  
2020年05月07日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）。 ,省级网络安全保障升级（网络安全预警监控平台建设及数据中心网络安全基础设施保障项目）,湘财采计[2020]000229号,何绍基,19892853989,公开招标,"1,700,000元",2020年05月07日 09:00,长沙市新建西路77号,长沙市芙蓉区东二环一段1139（湖南国际商务中心5楼528室）,吴先生 ,何绍基 ,0731-85357697,19892853989 
2020年05月08日 10:00,长沙市雨花区万家丽路二段29号湖南省价格信息市场（湖南省招标投标交易中心）,湖南省村级财务统一软件2020年半年运维服务,湘财采计[2020]000310号,倪超,85177561,公开招标,"840,000元",2020年05月08日 10:00,湖南省五一大道351号,湖南省长沙市蔡锷南路天辰腾达商务大厦,周婧 ,倪  超  薛  浩  周  敏 ,82212160,0731-85177566 
2020年05月08日 09:00,湖南省公共资源交易中心(长沙市雨花区万家丽南路二段29号）相应开标室（详见当天电子显示屏）,湖南省生态环境监测中心移动式水质自动监测车采购项目,湘财采计[2020]000154号,张敏,15116178899,公开招标,"6,860,000元",2020年05月08日 09:00,长沙市万家丽中路三段118号南栋617办公室,长沙市雨花区湘府东路二段108号水岸天际新寓1栋915-923室,荣兴 ,阳先生、张女士 ,0731-82592358,0731-84430086 
2020年05月08日 10:00,湖南省公共资源交易中心,东塘校区物业管理服务,湘财采计[2020]000190号,胡老师,073188458756,公开招标,6802881.45元,2020年05月08日 10:00,长沙岳麓区含浦科教园区,长沙市雨花区万家丽路二段29号,胡老师 ,欧益清,073188458756 ,89665210 
2020年05月08日 09:00,湖南正兴项目管理有限公司（长沙市芙蓉中路一段319号绿地中心T2栋1108室）,2019年实验室通风系统采购项目,湘财采计[2019]015994号,龙女士,0731-89913056,公开招标,"1,099,375元",2020年05月08日 09:00,湖南省娄底市娄星区氐星路,长沙市芙蓉中路一段319号绿地中心T2栋1108室,段老师 ,王女士、龙女士 ,0738-8918128,0731-89913056 
2020年05月08日 10:00,湖南省公共资源交易中心,2020-2021学年教材采购,湘财采计[2020]000239号,张莉,22783844,公开招标,6200000元,2020年05月08日 10:00,湖南省株洲市石峰区田心大道18号,长沙市雨花区万家丽路二段29号,张莉 ,欧益清,22783844 ,89665210 
